name,company,region,payment_type,price
"('Термос универсальный 0.5л',)",ТОО «REGNUM»,Алматы,"Безналичный расчет, Наличными",1700,"['+7 (747) 436-57-50', '+7 (700) 978-86-31']"
"('Термос из нержавеющей стали Гейзер (Амет) 3 л ',)","Это Интернет магазин, где более 20 000 полезных товаров",Алматы,"Наличными, Безналичный расчет",14500,"['+7 (778) 389-96-39', '+7 (707) 392-88-25', '+7 (705) 127-71-33', '+7 (727) 229-17-66', '+7 (777) 200-61-81']"
"('Термос Амет ""Турист"", 1,5 л.',)",Группа интернет-магазинов GiX,Алматы,"Оплата картой Visa, Mastercard - Wooppay, Наложенный платеж",10000,"['+7 (727) 329-16-95', '+7 (777) 022-34-45']"
"('9718 FISSMAN Термокружка 450 мл (стальной корпус со стальной колбой)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",5650,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос АRСTIСA TAIGA',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",17000,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос Winter Sport, Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",2400,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос Viomi Stainless Vacuum Cup Чёрный',)","ИП ""SkidkaKZ""",Алматы,"Наличными, Безналичный расчет",13840,['+7 (707) 774-41-40']
"('Термос Биосталь-Авто NRP-800 с широким горлом, 0.8л, пробка без кнопки, термочехол ',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",7410,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос для пищи с широким горлом (2000 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",10500,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос 0,7л. красный Captain (EMSA, Германия)',)",МИР ДОМА,Алматы,Оплата и возврат:,12700,"['+7 (701) 299-80-60', '+7 (700) 399-80-60']"
"('Термос ARCTICA 2.2 л. 48 ч. черный',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",20400,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Contigo Термос Contigo, черный',)",ТОО «БРЕРАС»,Тараз,"Яндекс.Касса, Безналичный расчет",28341,['+7 (708) 455-73-77']
"('Армейские термосы по ТУ',)",ТОО Контейнер Снаб,Алматы,"Купить в кредит (Home Credit), Наличными",36500,"['+7 (775) 327-17-88', '+7 (727) 317-41-15', '+7 (778) 996-95-83']"
"('Термос Амет Гейзер А 1с732 с пневмонасосом, 2.5л, ручка для переноски',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",10003.5,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос бутылочка 0,5 л Кролик',)",Qwerty,Алматы,"Оплата наличными, Банковский платеж",3200,"['+7 (776) 220-01-82', '+7 (727) 329-01-82']"
"('Детский термос (350 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4900,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос армейский из нержавеющей стали 25 л. ',)","ТОО ""BauSnab Company""",Алматы,"Оплата на карт счет, Безналичный расчет",33500,"['+7 (775) 039-19-69', '+7 (727) 317-97-80', '+7 (747) 674-94-84', '+7 (707) 805-95-80', '+7 (727) 313-18-61']"
"('Термос вакуумный нерж., бытовой, с широким горлом500 мл',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",15139,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Термос бытовой, вакуумный питьевой, 500 мл красный  тм""Арктика""',)",Оружейный двор,Уральск,"QIWI кошелек, Наличными",8550,"['+7 (711) 228-42-20', '+7 (711) 228-50-50']"
"('Термос ARCTICA',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",8000,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос Thermos с узким горлом, 0.5л, пробка без кнопки с откидным механизмом, колба стеклянная, ручка (923707-w)',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",7392.9,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('9661 FISSMAN Термос 1000 мл (нерж. сталь)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",6950,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос дорожный с широким горлом (500 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",10200,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос c металлической колбой BOYSCOUT 61070',)",Digital Tech ТОО,Алматы,"Наличными, Безналичный расчет",4300,"['+7 (700) 327-93-63', '+7 (708) 397-80-36']"
"('Термос ARCTICA',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",6600,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос вакуумный с дозатором VACUUM JUG FLASK LS-017 (Черный)',)",StarShop.kz - уникальные вещи с доставкой на дом,Алматы,"Наличными, Банковской картой VISA, MASTERCARD, AMEX",3590,"['+7 (727) 237-98-88', '+7 (775) 606-07-45', '+7 (717) 269-58-88', '+7 (712) 295-04-44', '+7 (729) 246-86-66']"
"('ЛЕДЯНОЙ СТАКАН С ТРУБОЧКОЙ',)",Мечта Кондитера,Алматы,"Безналичный расчет, Наличными",1250,"['+7 (747) 805-20-53', '+7 (708) 100-63-01']"
"('Термос Амет Турист-Н КS 1с585 с широким горлом, 1.0л, пробка без кнопки, с ручкой',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",7438.5,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос ""Клеточки"" с 1 кружкой и 1 чашкой, 1.8 л, сохраняет тепло 10 ч, 15х33 см, микс',)",Сима-ленд 2,Екатеринбург,"Наличными, Банковской картой",3553.79,['+7 (707) 377-86-76']
"('Термос (1000 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4300,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос классический с клапаном 750мл Palisad',)","ТОО ""Эльдорадо - Казахстан""",Актобе,"Безналичный расчет, Наложенный платеж",4990,"['+7 (713) 290-58-05', '+7 (771) 807-27-07', '+7 (713) 290-81-32', '+7 (771) 807-27-17', '+7 (771) 807-27-37']"
"('БЕХОВД Термос, светло-зеленый, бежевый',)","""mebel IK""- мебель и товары для Вашего дома от мирового бренда!",Астана,"Наложенный платеж, Наличными",2500,"['+7 (747) 094-00-23', '+7 (727) 357-33-06', '+7 (747) 094-00-25']"
"('Термос ARCTICA',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",9050,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос Амет Родник В 1с60 с узким горлом с носиком, 3.0л, пробка без кнопки, с ручкой',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",10265.7,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос ""АМЕТ - Гейзер"" 3,0л с пневмонасосом',)","ИП""Турпоход""",Алматы,Наличными,9500,['+7 (705) 987-69-89']
"('Вакуумный термос (1000 мл) с ручкой FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",12100,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Фляга-термос ARCTICA',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",13000,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос Greys QES-003 с узким горлом, 1.0л, пробка с кнопкой, зеленый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",4588.5,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('9751 FISSMAN Термос 380 мл (нерж. сталь)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",4700,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос 500 мл Животные, 201 сталь, держит тепло 12ч. микс 6,5х24 см',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",4271,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Термос ""Классик"" с 1 кружкой, 1 л, 13х29 см, микс',)", Supermarket-Almaty,Алматы,"Наличными, Безналичный расчет",3299,"['+7 (702) 762-01-40', '+7 (700) 964-45-18', '+7 (700) 964-45-19']"
"('Термос PETERHOF PH 12409-8',)",Техно-Строй-Астана,Астана,"Перевод денежных средств на карту, Оплата на банковский счет компании.",3860,"['+7 (717) 246-64-35', '+7 (777) 355-81-64', '+7 (707) 585-89-19', '+7 (717) 239-65-68']"
"('Детский термос (220 мл), зеленый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",3800,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос Добрыня DO-1820 с универсальным горлом,  1.2л, пробка с кнопкой, жестово, ручка, ремень тканевый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",5899.5,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос ARCTICA',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",9300,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос сититерм вакуумный,бытовой тм Арктика 500мл (викинг)',)",Оружейный двор,Уральск,"QIWI кошелек, Наличными",6650,"['+7 (711) 228-42-20', '+7 (711) 228-50-50']"
"('Термос с чехлом 1 л',)",Sale-M,Алматы,"Наличными, Безналичный расчет",3490,"['+7 (708) 321-08-11', '+7 (747) 467-24-11', '+7 (708) 148-99-45']"
"('Термос Амет Дорожный DS 1с667 с широким горлом, 0.75л, пробка без кнопки, ремень тканевый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",6925.5,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Детский термос (250 мл), коричневый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4400,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос 2.5 литров ',)","Это Интернет магазин, где более 20 000 полезных товаров",Алматы,"Наличными, Безналичный расчет",10790,"['+7 (778) 389-96-39', '+7 (707) 392-88-25', '+7 (705) 127-71-33', '+7 (727) 229-17-66', '+7 (777) 200-61-81']"
"('Термос ARCTICA 1.2 л. 32 ч. красный',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",11000,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('ТЕРМОС HOPE 9709 (1000 МЛ) от Fissman, Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",5290,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('- Термос Color 500, красный',)",ТОО «БРЕРАС»,Тараз,"Яндекс.Касса, Безналичный расчет",8991,['+7 (708) 455-73-77']
"('Термос Арктика 110-1500 Taiga с узким горлом, 1.5л, пробка без кнопки с термоизолятором, с ручкой',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",17225.4,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос (1200 мл), оранжевый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",14000,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('9720 FISSMAN Термокружка 500 мл (стальной корпус со стальной колбой)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",6400,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос АRСTIСA UNIVERSUM',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",6500,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос Thermos с узким горлом, 1.0л, пробка без кнопки с откидным механизмом, колба стеклянная, ручка (923714-w)',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",9348,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос для пищи с широким горлом (1200 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",8800,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос ARCTICA',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",6750,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос 500 мл Sports, 201 сталь, держит тепло 12ч. микс 6,5х24 см',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",4446,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Термос классический с клапаном, 500 мл (зеленый) PALISAD Camping',)",Торговый дом ТИЫН,Астана,"Наложенный платеж, Наличными",3320,"['+7 (747) 094-05-05', '+7 (717) 264-23-05', '+7 (717) 243-30-93', '+7 (701) 518-34-01', '+7 (777) 079-02-31']"
"('Термос Thermos FDH 2005BL с универсальным горлом, 2.0л, пробка с кнопкой и откидным механизмом, ручка (435538)',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",35431.2,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос из нержавеющей стали BergHOFF SA555 (2,0)',)",StarShop.kz - уникальные вещи с доставкой на дом,Алматы,"Наличными, Банковской картой VISA, MASTERCARD, AMEX",6490,"['+7 (727) 237-98-88', '+7 (775) 606-07-45', '+7 (717) 269-58-88', '+7 (712) 295-04-44', '+7 (729) 246-86-66']"
"('Термос на 750 мл с ручкой и двумя крышками ""Чай вдвоем"", серебристый',)",ТОО «АртPrintTrade»,Астана,"Наличными, Безналичный расчет",6960.45,"['+7 (705) 414-95-54', '+7 (717) 267-75-45', '+7 (717) 257-34-65', '+7 (717) 257-35-37', '+7 (717) 220-02-06']"
"('Термос бытовой вакуумный «Командор», 750 мл, 24 ч, синий',)",Сима-ленд 3,Екатеринбург,"Банковской картой, Безналичным переводом",3730,['+7 (707) 377-86-76']
"('Термос LAPLAYA HIGH PERFORMANCE',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",8600,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Детский термос (1000 мл), желтый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",7300,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос Арктика 106-900 с узким горлом, 0.9л, пробка без кнопки, зеленый (молотковая эмаль)',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",9650.1,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('ХЭЛЬСА Стальной термос',)",Интернет магазин IKEA в Алматы и Астане mebel-express.kz,Алматы,"Наличными, Безналичный расчет",3233,['+7 (778) 208-80-34']
"('Термос Амет ""Экспресс"", 2 л.',)",Группа интернет-магазинов GiX,Алматы,"Оплата картой Visa, Mastercard - Wooppay, Наложенный платеж",10500,"['+7 (727) 329-16-95', '+7 (777) 022-34-45']"
"('9754 FISSMAN Термос 880 мл (нерж. сталь)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",5650,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос LAPLAYA HIGH PERFORMANCE',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",10200,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос со стеклянной колбой (1800 мл), фиолетовый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",5850,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос бутылочка',)",Qwerty,Алматы,"Оплата наличными, Банковский платеж",3200,"['+7 (776) 220-01-82', '+7 (727) 329-01-82']"
"('Термос Mallony Luminoso с узким горлом, 1.8л, пробка без кнопки, колба стеклянная, ручка (003688)',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",3858.9,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос ""Спорт"", 500 мл, 201 сталь, сохраняет тепло 10 ч, 9х24 см,  микс',)",Сима-ленд 2,Екатеринбург,"Наличными, Банковской картой",2393.11,['+7 (707) 377-86-76']
"('Термокружка невакуумная автомобильная без ручки тм Арктика 400мл  болотная',)",Оружейный двор,Уральск,"QIWI кошелек, Наличными",4150,"['+7 (711) 228-42-20', '+7 (711) 228-50-50']"
"('Термос ARCTICA',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",9050,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Детский термос (450 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4600,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос Добрыня DO-1811 с узким горлом, 0.75л, пробка с кнопкой,  гжель',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",4326.3,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос ARCTICA',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",8000,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос Mallony SF-1000A с универсальным горлом, 1.0л, пробка с кнопкой, с ручкой (073006)',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",5677.2,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Детский термос (350 мл), зеленый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4200,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос армейский с краном ТГк-24 л',)",ТОО Контейнер 24,Алматы,"Наличными, Безналичный расчет",40000,"['+7 (705) 333-61-11', '+7 (775) 327-17-88']"
"('Термос Fresh Fruit',)",Интернет-магазин Shoppify,Алматы,"Наложенный платеж, Безналичный расчет",3200,"['+7 (777) 680-87-77', '+7 (701) 255-12-91']"
"('Термос Хорошой вкус, 350 мл, 201 сталь, сохраняет тепло 8 ч, 6.5х6.5х18 см, микс картинок',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",4940,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Армейские термосы по ТУ',)",ТОО Контейнер Снаб,Алматы,"Купить в кредит (Home Credit), Наличными",23000,"['+7 (775) 327-17-88', '+7 (727) 317-41-15', '+7 (778) 996-95-83']"
"('Термос Амет Родник ВN 1с592 с узким горлом, 2.0л, пробка без кнопки, с ручкой',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",9114.3,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос АRСTIСA UNIVERSUM',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",21000,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('9726 FISSMAN Термокружка 450 мл (стальной корпус со стальной колбой)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",5950,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Детский термос (260 мл), розовый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",3700,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос Арктика 106-500 с узким горлом, 0.5л, пробка без кнопки, серый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",7415.7,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос АRСTIСA UNIVERSUM',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",22500,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Вакуумный термос (900 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",11700,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос Амет Турист-Н КN 1с590 с узким горлом, 1.0л, пробка без кнопки, с ручкой',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",7216.2,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос ARCTICA СITYTERM NORWAY',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",7200,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('teplo Набор «Скандик», синий',)",ТОО «БРЕРАС»,Тараз,"Яндекс.Касса, Безналичный расчет",16371,['+7 (708) 455-73-77']
"('Термос бутылочка',)",Homeline ,Алматы,"Наложенный платеж, Безналичный расчет",3200,['+7 (727) 323-11-09']
"('Детский термос (500 мл), голубой FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4600,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Кружка ""Purple""',)","Магазин подарков ""Expression"" (Экспрешн)",Алматы,"Наличными, Безналичный расчет",2500,['+7 (701) 100-41-45']
"('Термос для чая High Grade Vacuum Flask 1000 ml с чехлом',)","Это Интернет магазин, где более 20 000 полезных товаров",Алматы,"Наличными, Безналичный расчет",2290,"['+7 (778) 389-96-39', '+7 (707) 392-88-25', '+7 (705) 127-71-33', '+7 (727) 229-17-66', '+7 (777) 200-61-81']"
"('Термос Thermos TTF-503-B с узким горлом, 0.5л, пробка-крышка с кнопкой и откидным механизмом, голубой (127278)',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",10659,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос KOVEA CARRY HOT',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",3100,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Кувшин-термос Zanussi, 2 л',)",Сима-Ленд 7,Екатеринбург,"Банковской картой, Безналичным переводом",25997.18,['+7 (707) 377-86-76']
"('Термос 500 мл, бутылка, Серия Урбан, рисунок, держит тепло 8 ч, микс, 7.5х23 см',)",Сима-Ленд  5,Екатеринбург,"Банковской картой, Безналичным переводом",2147.3,['+7 (707) 377-86-76']
"('Спортивная бутылка CooknCo, 0.75 л',)",Сима-Ленд 6,Екатеринбург,"Банковской картой, Безналичным переводом",4190.52,['+7 (707) 377-86-76']
"('Классический термос Stanley (0,47 л)',)",GOSPODAR.UA,Луцк,"Безналичный расчет, Наличными",17920,"['+380 (50) 545-12-45 доб. viber', '+380 (50) 507-35-59', '+380 (97) 462-47-32 доб. viber', '+380 (98) 660-00-15 доб. viber', '+380 (66) 787-19-78']"
"('Термос zoku 500 мл серый',)",Сима-Ленд 8,Екатеринбург,"Банковской картой, Безналичный расчет",11091.28,['+7 (707) 377-86-76']
"('Детский термос (360 мл), розовый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4200,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос Биосталь-Спорт NGP-1800 P с универсальным горлом, 1.8л, пробка без кнопки, ручка, ремень тканевый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",8624.1,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос  Hello Dog (350 мл), Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",2400,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос вакуумный «Sports» [350/500 мл] SZM-8063 (Чёрный с зелёным / 350 мл)',)",StarShop.kz - уникальные вещи с доставкой на дом,Алматы,"Наличными, Банковской картой VISA, MASTERCARD, AMEX",2990,"['+7 (727) 237-98-88', '+7 (775) 606-07-45', '+7 (717) 269-58-88', '+7 (712) 295-04-44', '+7 (729) 246-86-66']"
"('9754 FISSMAN Термос 880 мл (нерж. сталь)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",5650,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос пищевой 7 литров',)",ProPosuda,Караганда,"Наличными, Безналичный расчет",3500,['8 (775) 643-16-35']
"('Термос бытовой, вакуумный для напитков тм Арктика 500 мл. черный',)",Оружейный двор,Уральск,"QIWI кошелек, Наличными",6450,"['+7 (711) 228-42-20', '+7 (711) 228-50-50']"
"('Термос Единственный, 500 мл, 304 сталь, сохраняет тепло 8 ч, 6.5х22.5 см, микс',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",7124,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Кружка-Термос LAPLAYA MERCURY',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",2500,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
