name,company,region,payment_type,price
"('Термос с чехлом для путешествий',)",Wellamart,Алматы,"Безналичный расчет, Наличными",3490,"['+7 (727) 323-11-10', '+7 (776) 246-10-25']"
"('Термос Sport  (Спорт), 800 мл, Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",4200,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос Единорог , Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",3500,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос 1000 мл',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",8200,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос ""Thinking of you"" (350 мл), Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",2400,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('БЕХОВД Термос 1л арт. 701.500.72 IKEA',)",DomMart Kazakhstan,Астана,"Наложенный платеж, Безналичный расчет",3300,['+7 (778) 667-88-99']
"('Термос разных цветов 0,15 л',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",5400,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос с чехлом для путешествий',)",Homeline ,Алматы,"Наложенный платеж, Безналичный расчет",3490,['+7 (727) 323-11-09']
"('Термос  Hello Dog (350 мл), Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",2400,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос с чехлом 1 л',)",Homeline ,Алматы,"Наложенный платеж, Безналичный расчет",3490,['+7 (727) 323-11-09']
"('Термос 500мл Фламинго, Алматы ',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",5200,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос Paris (500 мл), Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",2800,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('ВОЛЮМ стальной термос IKEA',)",DomMart Kazakhstan,Астана,"Наложенный платеж, Безналичный расчет",5200,['+7 (778) 667-88-99']
"('ТЕРМОС HOPE 9709 (1000 МЛ) от Fissman, Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",5290,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос бутылочка 0,5 л Кролик',)",Homeline ,Алматы,"Наложенный платеж, Безналичный расчет",3200,['+7 (727) 323-11-09']
"('Термос разных цветов 0,75 л',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",7000,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос ""Thinking of you"" (500 мл), Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",2800,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос с чехлом 1 л',)",Wellamart,Алматы,"Безналичный расчет, Наличными",3490,"['+7 (727) 323-11-10', '+7 (776) 246-10-25']"
"('Термос Toro  260919 (263239)(263286) (1л)',)","Интернет магазин бытовой и встраиваемой техники.Компания ""Техника"" ",Алматы,"Оплата перечислением, Наличными",4900,"['+7 (747) 949-32-46', '+7 (727) 327-09-46', '+7 (727) 329-49-60', '+7 (747) 949-32-44', '+7 (747) 949-32-46', '+7 (747) 949-32-27']"
"('Термос 450мл , внутри металл, пластик от кнопки, держит тепло 6ч микс',)", NAVI-GIFT your store,Алматы,"Расчетный счет компании., QIWI кошелёк.",4000,"['+7 (707) 645-04-27', '+7 (707) 645-04-27', '+7 (777) 488-93-69', '+7 (777) 274-07-42']"
"('Термос универсальный ',)","Интернет-магазин ""lider-instrument""",Алматы,"Наличными, Безналичный расчет",10000,"['+7 (778) 457-56-85', '+7 (727) 223-36-74', '+7 (707) 992-41-82']"
"('Термос армейский 6л,12л,25л,36л',)",ТОО Контейнер Снаб,Алматы,"Купить в кредит (Home Credit), Наличными",25000,"['+7 (775) 327-17-88', '+7 (727) 317-41-15', '+7 (778) 996-95-83']"
"('Контейнер для еды с подогревом Electric Lunch Box',)",Qwerty,Алматы,"Оплата наличными, Банковский платеж",5000,"['+7 (776) 220-01-82', '+7 (727) 329-01-82']"
"('Термос Starbucks, 500 мл',)",Магазин подарков Luloo.kz,Алматы,"Наличными, для Алматы, Безналичный расчет для регионов РК",6000,['+7 (707) 251-25-28']
"('Термос Kaili, 1150 мл.',)",Группа интернет-магазинов GiX,Алматы,"Оплата картой Visa, Mastercard - Wooppay, Наложенный платеж",4200,"['+7 (727) 329-16-95', '+7 (777) 022-34-45']"
"('263262/термос 1 л. Toro.',)","ИП ""SkidkaKZ""",Алматы,"Наличными, Безналичный расчет",3900,['+7 (707) 774-41-40']
"('Термос Панда, 500 мл',)","Интернет-магазин игрушек и  товаров для детей ""Киндерята""",Алматы,"Наличными, Безналичный расчет",2800,"['+7 (705) 815-62-82', '+7 (705) 184-90-98', '+7 (727) 395-24-79']"
"('Термос 500 мл, Белый',)","""DARom&Сompany""",Алматы,"Безналичный расчет, Наличными",3010,"['+7 (707) 218-82-64', '+7 (707) 218-82-59', '+7 (707) 679-76-75', '+7 (701) 101-06-66', '+7 (700) 669-62-02']"
"('Термос Rondell RDS 496',)",Техно-Строй-Астана,Астана,"Перевод денежных средств на карту, Оплата на банковский счет компании.",6620,"['+7 (717) 246-64-35', '+7 (777) 355-81-64', '+7 (707) 585-89-19', '+7 (717) 239-65-68']"
"('Дорожная кружка ЭФТЕРФРОГАД нержавеющ сталь ИКЕА, IKEA ',)","""IDEA HOUSE""- интернет магазин мебели и товаров ИКЕА (IKEA) ",Астана,"Наличными, БЕСПЛАТНЫЙ выезд менеджера на адрес заказчика!",4610,"['+7 (702) 189-77-68', '+7 (747) 476-70-87', '+7 (771) 267-90-55']"
"('Термос ""Колеса""',)",Ловец снов,Астана,"Наличными, Безналичный расчет",5700,"['+7 (707) 849-78-85', '+7 (777) 289-89-14', '+7 (717) 225-24-38']"
"('Термос Viomi Stainless Vacuum Cup Белый',)","TradeKZ - системы безопасности, автоматизация, электроника, электрооборудование",Алматы,"Наличными, Безналичный расчет",16710,"['+7 (727) 329-19-17', '+7 (701) 648-77-02']"
"('Термос армейский ',)",ТОО Контейнер 24,Алматы,"Наличными, Безналичный расчет",26000,"['+7 (705) 333-61-11', '+7 (775) 327-17-88']"
"('Термос STARBUCKS',)",Интернет-магазин Shoppify,Алматы,"Наложенный платеж, Безналичный расчет",3500,"['+7 (777) 680-87-77', '+7 (701) 255-12-91']"
"('Термос бутылочка 0,5 л Кролик',)","Интернет магазин ""TV SALE""",Павлодар,"Киви кошелек, Денежные переводы на счет.",3200,"['+7 (705) 408-94-90', '+7 (705) 408-94-90']"
"('Термос Старбакс',)",Paramigos,Алматы,"Наличными, Безналичный расчет",4500,"['+7 (701) 722-32-95', '+7 (727) 971-27-91']"
"('ТЕРМОС РЫБАКА ПОДАРОЧНЫЙ',)","МАГАЗИН ""ХИЩНИК""",Астана,"Наличными, Безналичный расчет",18500,"['+7 (777) 952-19-82', '+7 (705) 584-62-98']"
"('Термос ЗУБР ""ЭКСПЕРТ"" туристический, с ручкой, 1000мл',)",Интернет-магазин товаров для офиса Verniy-Office.kz,Алматы,"Наличными, Безналичный расчет",12680,"['+7 (727) 292-96-44', '+7 (708) 967-88-78']"
"('Термос со стеклянной колбой Scovo, 1,8 литра, Алматы',)",« Скоро-Ход »,Алматы,"Безналичный расчет., Наличными",8500,"['+7 (701) 993-91-03', '+7 (701) 378-11-11']"
"('Термос Fissman 1 л',)",Alashop.kz,Алматы,"Безналичный расчет, Наличными",6021,"['+7 (707) 222-35-58', '+7 (702) 169-90-91']"
"('Bullet термос из нержавеющей стали',)",Global-Trend.Club Лучшие мировые трендовые товары ,Алматы,"Наличными, Наложенный платеж",14950,['+7 (727) 349-33-94 доб. Закажите']
